,Protein_Names,Sample_Name,Hits
200,STMN1_MOUSE,Q331K_M1,56632.1
201,DSC1-2_MOUSE;DSC1_MOUSE,Q331K_M1,319077.0
202,ATPB_MOUSE,Q331K_M1,145921.0
203,EAA1_MOUSE,Q331K_M1,360018.0
204,FUS_MOUSE,Q331K_M1,1700800.0
205,PCBP3-2_MOUSE;PCBP3_MOUSE,Q331K_M1,166784.0
206,PCBP4_MOUSE,Q331K_M1,66294.1
207,EF1D-2_MOUSE;EF1D-3_MOUSE;EF1D_MOUSE,Q331K_M1,0.0
208,EF2_MOUSE,Q331K_M1,144168.0
209,CPNE2_MOUSE;CPNE3_MOUSE;CPNE4_MOUSE;CPNE5_MOUSE;CPNE6_MOUSE;CPNE7_MOUSE;CPNE8_MOUSE;CPNE9_MOUSE,Q331K_M1,0.0
210,WDHD1-2_MOUSE;WDHD1-3_MOUSE;WDHD1_MOUSE,Q331K_M1,114001.0
211,MYPR_MOUSE,Q331K_M1,1293610.0
212,PCBP1_MOUSE,Q331K_M1,1644290.0
213,LIPA3_MOUSE,Q331K_M1,110319.0
214,ACTB_MOUSE;ACTG_MOUSE,Q331K_M1,3364040.0
215,NEUG_MOUSE,Q331K_M1,524437.0
216,RAC1_MOUSE;RAC2_MOUSE;RAC3_MOUSE,Q331K_M1,0.0
217,SNP25-2_MOUSE;SNP25_MOUSE,Q331K_M1,113972.0
218,ARF1_MOUSE;ARF3_MOUSE,Q331K_M1,168996.0
219,RAP2A-2_MOUSE;RAP2A_MOUSE;RAP2B_MOUSE;RAP2C_MOUSE,Q331K_M1,268606.0
220,RL26_MOUSE,Q331K_M1,221713.0
221,STX1B_MOUSE,Q331K_M1,77053.9
222,GABT_MOUSE,Q331K_M1,111212.0
223,HNRPK-3_MOUSE,Q331K_M1,11080200.0
224,PP1B_MOUSE,Q331K_M1,0.0
225,RS8_MOUSE,Q331K_M1,636744.0
226,RS15A_MOUSE,Q331K_M1,159577.0
227,UB2G1_MOUSE,Q331K_M1,1167980.0
228,RS23_MOUSE,Q331K_M1,750020.0
229,RS11_MOUSE,Q331K_M1,271328.0
230,SMD2_MOUSE,Q331K_M1,521531.0
231,SMD3_MOUSE,Q331K_M1,288854.0
232,ABI1-2_MOUSE;ABI1-3_MOUSE;ABI1-4_MOUSE;ABI1-5_MOUSE;ABI1_MOUSE;ABI2_MOUSE,Q331K_M1,0.0
233,RL23A_MOUSE,Q331K_M1,332691.0
234,RS6_MOUSE,Q331K_M1,2783320.0
235,VISL1_MOUSE,Q331K_M1,125257.0
236,H4_MOUSE,Q331K_M1,3507790.0
237,GBRA1_MOUSE;GBRA5_MOUSE,Q331K_M1,120652.0
238,VATB2_MOUSE,Q331K_M1,179998.0
239,RAB3C_MOUSE,Q331K_M1,690927.0
240,RAN_MOUSE,Q331K_M1,1102710.0
241,RL23_MOUSE,Q331K_M1,829458.0
242,RS26_MOUSE,Q331K_M1,792415.0
243,RS30_MOUSE,Q331K_M1,2048160.0
244,RL31_MOUSE,Q331K_M1,289900.0
245,RS3_MOUSE,Q331K_M1,303980.0
246,RL32_MOUSE,Q331K_M1,140117.0
247,RL8_MOUSE,Q331K_M1,350126.0
248,RS27A_MOUSE,Q331K_M1,977675.0
249,TRA2B_MOUSE,Q331K_M1,317994.0
250,RAB3A_MOUSE,Q331K_M1,1142620.0
251,HSP7C_MOUSE,Q331K_M1,5276220.0
252,CH60_MOUSE,Q331K_M1,237839.0
253,CPLX1_MOUSE,Q331K_M1,879479.0
254,GBRB3_MOUSE,Q331K_M1,915549.0
255,1433Z_MOUSE,Q331K_M1,346748.0
256,HMGB1_MOUSE,Q331K_M1,611939.0
257,DYL1_MOUSE,Q331K_M1,160369.0
258,KPCG_MOUSE,Q331K_M1,251557.0
259,PP2BA-2_MOUSE;PP2BA_MOUSE,Q331K_M1,289230.0
260,ACTS_MOUSE,Q331K_M1,239127.0
261,1433T-2_MOUSE;1433T_MOUSE,Q331K_M1,205999.0
262,TBA4A_MOUSE,Q331K_M1,10939600.0
263,TBA1A_MOUSE,Q331K_M1,13507600.0
264,TBB4B_MOUSE,Q331K_M1,14098700.0
265,KPCB-2_MOUSE;KPCB_MOUSE,Q331K_M1,34728.0
